tfclass:id	tfclass:superclass	tfclass:class	tfclass:family	tfclass:subfamily	curated:uniprot_ac	tfclass:source	curated:uniprot_id	auto:protein_name	auto:gene_symbol	auto:gene_synonyms	auto:hgnc	auto:mgi	auto:entrez	GRECO_dbTF
2.1.2.5.3	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	PPAR (NR1C)	P37231	http://tfclass.bioinf.med.uni-goettingen.de/	PPARG_HUMAN	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	PPARG	NR1C3	9236;		5468;	yes
2.1.2.5.3	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	PPAR (NR1C)	P37238	http://tfclass.bioinf.med.uni-goettingen.de/	PPARG_MOUSE	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	Pparg	Nr1c3		97747;	19016;	yes
2.1.2.6.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	ROR (NR1F)	P35398	http://tfclass.bioinf.med.uni-goettingen.de/	RORA_HUMAN	Nuclear receptor ROR-alpha (Nuclear receptor RZR-alpha) (Nuclear receptor subfamily 1 group F member 1) (RAR-related orphan receptor A) (Retinoid-related orphan receptor-alpha)	RORA	NR1F1 RZRA	10258;		6095;	yes
2.1.2.6.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	ROR (NR1F)	P51448	http://tfclass.bioinf.med.uni-goettingen.de/	RORA_MOUSE	Nuclear receptor ROR-alpha (Nuclear receptor RZR-alpha) (Nuclear receptor subfamily 1 group F member 1) (RAR-related orphan receptor A) (Retinoid-related orphan receptor-alpha)	Rora	Nr1f1 Rzra		104661;	19883;	yes
2.1.2.6.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	ROR (NR1F)	Q92753	http://tfclass.bioinf.med.uni-goettingen.de/	RORB_HUMAN	Nuclear receptor ROR-beta (Nuclear receptor RZR-beta) (Nuclear receptor subfamily 1 group F member 2) (Retinoid-related orphan receptor-beta)	RORB	NR1F2 RZRB	10259;			yes
2.1.2.6.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	ROR (NR1F)	Q8R1B8	http://tfclass.bioinf.med.uni-goettingen.de/	RORB_MOUSE	Nuclear receptor ROR-beta (Nuclear receptor RZR-beta) (Nuclear receptor subfamily 1 group F member 2) (Retinoid-related orphan receptor-beta)	Rorb	Nr1f2		1343464;	225998;	yes
2.1.2.6.3	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	ROR (NR1F)	P51449	http://tfclass.bioinf.med.uni-goettingen.de/	RORG_HUMAN	Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuclear receptor subfamily 1 group F member 3) (RAR-related orphan receptor C) (Retinoid-related orphan receptor-gamma)	RORC	NR1F3 RORG RZRG	10260;		6097;	yes
2.1.2.6.3	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	ROR (NR1F)	P51450	http://tfclass.bioinf.med.uni-goettingen.de/	RORG_MOUSE	Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuclear receptor subfamily 1 group F member 3) (RAR-related orphan receptor C) (Retinoid-related orphan receptor-gamma) (Thymus orphan receptor) (TOR)	Rorc	Nr1f3 Rorg Thor		104856;	19885;	yes
2.1.2.7.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	LXR (NR1H)	Q13133	http://tfclass.bioinf.med.uni-goettingen.de/	NR1H3_HUMAN	Oxysterols receptor LXR-alpha (Liver X receptor alpha) (Nuclear receptor subfamily 1 group H member 3)	NR1H3	LXRA	7966;		10062;	yes
2.1.2.7.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	LXR (NR1H)	Q9Z0Y9	http://tfclass.bioinf.med.uni-goettingen.de/	NR1H3_MOUSE	Oxysterols receptor LXR-alpha (Liver X receptor alpha) (Nuclear receptor subfamily 1 group H member 3)	Nr1h3	Lxra		1352462;	22259;	yes
2.1.2.7.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	LXR (NR1H)	P55055	http://tfclass.bioinf.med.uni-goettingen.de/	NR1H2_HUMAN	Oxysterols receptor LXR-beta (Liver X receptor beta) (Nuclear receptor NER) (Nuclear receptor subfamily 1 group H member 2) (Ubiquitously-expressed nuclear receptor)	NR1H2	LXRB NER UNR	7965;		7376;	yes
2.1.2.7.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	LXR (NR1H)	Q60644	http://tfclass.bioinf.med.uni-goettingen.de/	NR1H2_MOUSE	Oxysterols receptor LXR-beta (Liver X receptor beta) (Nuclear receptor subfamily 1 group H member 2) (Retinoid X receptor-interacting protein No.15) (Ubiquitously-expressed nuclear receptor)	Nr1h2	Lxrb Rip15 Unr Unr2		1352463;	22260;	yes
2.1.2.7.3	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	LXR (NR1H)	Q96RI1	http://tfclass.bioinf.med.uni-goettingen.de/	NR1H4_HUMAN	Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)	NR1H4	BAR FXR HRR1 RIP14	7967;		9971;	yes
2.1.2.7.3	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	LXR (NR1H)	Q60641	http://tfclass.bioinf.med.uni-goettingen.de/	NR1H4_MOUSE	Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)	Nr1h4	Bar Fxr Rip14		1352464;	20186;	yes
2.1.3.1.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	RXR (NR2B)	P19793	http://tfclass.bioinf.med.uni-goettingen.de/	RXRA_HUMAN	Retinoic acid receptor RXR-alpha (Nuclear receptor subfamily 2 group B member 1) (Retinoid X receptor alpha)	RXRA	NR2B1	10477;		6256;	yes
2.1.3.1.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	RXR (NR2B)	P28700	http://tfclass.bioinf.med.uni-goettingen.de/	RXRA_MOUSE	Retinoic acid receptor RXR-alpha (Nuclear receptor subfamily 2 group B member 1) (Retinoid X receptor alpha)	Rxra	Nr2b1		98214;	20181;	yes
2.1.3.1.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	RXR (NR2B)	P28702	http://tfclass.bioinf.med.uni-goettingen.de/	RXRB_HUMAN	Retinoic acid receptor RXR-beta (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta)	RXRB	NR2B2	10478;		6257;	yes
2.1.3.1.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	RXR (NR2B)	P28704	http://tfclass.bioinf.med.uni-goettingen.de/	RXRB_MOUSE	Retinoic acid receptor RXR-beta (MHC class I regulatory element-binding protein H-2RIIBP) (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta)	Rxrb	Nr2b2		98215;	20182;	yes
2.1.3.1.3	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	RXR (NR2B)	P48443	http://tfclass.bioinf.med.uni-goettingen.de/	RXRG_HUMAN	Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma)	RXRG	NR2B3	10479;		6258;	yes
2.1.3.1.3	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	RXR (NR2B)	P28705	http://tfclass.bioinf.med.uni-goettingen.de/	RXRG_MOUSE	Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma)	Rxrg	Nr2b3		98216;	20183;	yes
2.1.3.2.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	HNF4 (NR2A)	P41235	http://tfclass.bioinf.med.uni-goettingen.de/	HNF4A_HUMAN	Hepatocyte nuclear factor 4-alpha (HNF-4-alpha) (Nuclear receptor subfamily 2 group A member 1) (Transcription factor 14) (TCF-14) (Transcription factor HNF-4)	HNF4A	HNF4 NR2A1 TCF14	5024;		3172;	yes
2.1.3.2.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	HNF4 (NR2A)	P49698	http://tfclass.bioinf.med.uni-goettingen.de/	HNF4A_MOUSE	Hepatocyte nuclear factor 4-alpha (HNF-4-alpha) (Nuclear receptor subfamily 2 group A member 1) (Transcription factor 14) (TCF-14) (Transcription factor HNF-4)	Hnf4a	Hnf-4 Hnf4 Nr2a1 Tcf14		109128;	15378;	yes
2.1.3.2.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	HNF4 (NR2A)	Q14541	http://tfclass.bioinf.med.uni-goettingen.de/	HNF4G_HUMAN	Hepatocyte nuclear factor 4-gamma (HNF-4-gamma) (Nuclear receptor subfamily 2 group A member 2)	HNF4G	NR2A2	5026;		3174;	yes
2.1.3.2.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	HNF4 (NR2A)	Q9WUU6	http://tfclass.bioinf.med.uni-goettingen.de/	HNF4G_MOUSE	Hepatocyte nuclear factor 4-gamma (HNF-4-gamma) (Nuclear receptor subfamily 2 group A member 2)	Hnf4g	Nr2a2		1353604;	30942;	yes
2.1.3.3.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	TLX (NR2E1)	Q9Y466	http://tfclass.bioinf.med.uni-goettingen.de/	NR2E1_HUMAN	Nuclear receptor subfamily 2 group E member 1 (Nuclear receptor TLX) (Protein tailless homolog) (Tll) (hTll)	NR2E1	TLX	7973;		7101;	yes
2.1.3.3.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	TLX (NR2E1)	Q64104	http://tfclass.bioinf.med.uni-goettingen.de/	NR2E1_MOUSE	Nuclear receptor subfamily 2 group E member 1 (Nuclear receptor TLX) (Protein tailless homolog) (Tll) (mTll)	Nr2e1	Tll Tlx		1100526;	21907;	yes
2.1.3.3.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	TLX (NR2E1)	Q9Y5X4	http://genexplain.com/tfclass/huTF_classification.html	NR2E3_HUMAN	Photoreceptor-specific nuclear receptor (Nuclear receptor subfamily 2 group E member 3) (Retina-specific nuclear receptor)	NR2E3	PNR RNR	7974;		10002;	yes
2.1.3.3.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	TLX (NR2E1)	Q9QXZ7	http://tfclass.bioinf.med.uni-goettingen.de/	NR2E3_MOUSE	Photoreceptor-specific nuclear receptor (Nuclear receptor subfamily 2 group E member 3) (Retina-specific nuclear receptor)	Nr2e3	Pnr Rnr		1346317;	23958;	yes
2.1.3.4.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	TR (NR2C)	P13056	http://tfclass.bioinf.med.uni-goettingen.de/	NR2C1_HUMAN	Nuclear receptor subfamily 2 group C member 1 (Orphan nuclear receptor TR2) (Testicular receptor 2)	NR2C1	TR2	7971;		7181;	yes
2.1.3.4.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	TR (NR2C)	Q505F1	http://tfclass.bioinf.med.uni-goettingen.de/	NR2C1_MOUSE	Nuclear receptor subfamily 2 group C member 1 (Orphan nuclear receptor TR2) (Testicular receptor 2) (mTR2)	Nr2c1	Tr2 Tr2-11		1352465;	22025;	yes
2.1.3.4.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	TR (NR2C)	P49116	http://tfclass.bioinf.med.uni-goettingen.de/	NR2C2_HUMAN	Nuclear receptor subfamily 2 group C member 2 (Orphan nuclear receptor TAK1) (Orphan nuclear receptor TR4) (Testicular receptor 4)	NR2C2	TAK1 TR4	7972;		7182;	yes
2.1.3.4.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	TR (NR2C)	P49117	http://tfclass.bioinf.med.uni-goettingen.de/	NR2C2_MOUSE	Nuclear receptor subfamily 2 group C member 2 (Orphan nuclear receptor TAK1) (Orphan nuclear receptor TR4) (Testicular receptor 4)	Nr2c2	Mtr2r1 Tak1 Tr4		1352466;	22026;	yes
2.1.3.5.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	COUP (NR2F)	P10589	http://genexplain.com/tfclass/huTF_classification.html	COT1_HUMAN	COUP transcription factor 1 (COUP-TF1) (COUP transcription factor I) (COUP-TF I) (Nuclear receptor subfamily 2 group F member 1) (V-erbA-related protein 3) (EAR-3)	NR2F1	EAR3 ERBAL3 TFCOUP1	7975;		7025;	yes
2.1.3.5.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	COUP (NR2F)	Q60632	http://genexplain.com/tfclass/huTF_classification.html	COT1_MOUSE	COUP transcription factor 1 (COUP-TF1) (COUP transcription factor I) (COUP-TF I) (Nuclear receptor subfamily 2 group F member 1) (V-erbA-related protein 3) (EAR-3)	Nr2f1	Erbal3 Tfcoup1		1352451;	13865;	yes
2.1.3.5.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	COUP (NR2F)	P24468	http://genexplain.com/tfclass/huTF_classification.html	COT2_HUMAN	COUP transcription factor 2 (COUP-TF2) (Apolipoprotein A-I regulatory protein 1) (ARP-1) (COUP transcription factor II) (COUP-TF II) (Nuclear receptor subfamily 2 group F member 2)	NR2F2	ARP1 TFCOUP2	7976;		7026;	yes
2.1.3.5.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	COUP (NR2F)	P43135	http://genexplain.com/tfclass/huTF_classification.html	COT2_MOUSE	COUP transcription factor 2 (COUP-TF2) (Apolipoprotein AI regulatory protein 1) (ARP-1) (COUP transcription factor II) (COUP-TF II) (Nuclear receptor subfamily 2 group F member 2)	Nr2f2	Aporp1 Arp-1 Arp1 Tfcoup2		1352452;	11819;	yes
2.1.3.5.3	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	COUP (NR2F)	P10588	http://tfclass.bioinf.med.uni-goettingen.de/	NR2F6_HUMAN	Nuclear receptor subfamily 2 group F member 6 (V-erbA-related protein 2) (EAR-2)	NR2F6	EAR2 ERBAL2	7977;		2063;	yes
2.1.3.5.3	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	RXR-related receptors	COUP (NR2F)	P43136	http://tfclass.bioinf.med.uni-goettingen.de/	NR2F6_MOUSE	Nuclear receptor subfamily 2 group F member 6 (COUP transcription factor 3) (COUP-TF3) (V-erbA-related protein 2) (EAR-2)	Nr2f6	Ear-2 Ear2 Erbal2		1352453;	13864;	yes
2.1.4.0.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	NGFI (NR4A)		P22736	http://tfclass.bioinf.med.uni-goettingen.de/	NR4A1_HUMAN	Nuclear receptor subfamily 4 group A member 1 (Early response protein NAK1) (Nuclear hormone receptor NUR/77) (Nur77) (Orphan nuclear receptor HMR) (Orphan nuclear receptor TR3) (ST-59) (Testicular receptor 3)	NR4A1	GFRP1 HMR NAK1	7980;		3164;	yes
2.1.4.0.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	NGFI (NR4A)		P12813	http://tfclass.bioinf.med.uni-goettingen.de/	NR4A1_MOUSE	Nuclear receptor subfamily 4 group A member 1 (Nuclear hormone receptor NUR/77) (Nuclear protein N10) (Orphan nuclear receptor HMR)	Nr4a1	Gfrp Hmr N10 Nur77		1352454;	15370;	yes
2.1.4.0.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	NGFI (NR4A)		P43354	http://tfclass.bioinf.med.uni-goettingen.de/	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2 (Immediate-early response protein NOT) (Orphan nuclear receptor NURR1) (Transcriptionally-inducible nuclear receptor)	NR4A2	NOT NURR1 TINUR	7981;		4929;	yes
2.1.4.0.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	NGFI (NR4A)		Q06219	http://tfclass.bioinf.med.uni-goettingen.de/	NR4A2_MOUSE	Nuclear receptor subfamily 4 group A member 2 (NUR-related factor 1) (Orphan nuclear receptor NURR1)	Nr4a2	Nurr1		1352456;	18227;	yes
2.1.4.0.3	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	NGFI (NR4A)		Q92570	http://tfclass.bioinf.med.uni-goettingen.de/	NR4A3_HUMAN	Nuclear receptor subfamily 4 group A member 3 (Mitogen-induced nuclear orphan receptor) (Neuron-derived orphan receptor 1) (Nuclear hormone receptor NOR-1)	NR4A3	CHN CSMF MINOR NOR1 TEC	7982;		8013;	yes
2.1.4.0.3	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	NGFI (NR4A)		Q9QZB6	http://tfclass.bioinf.med.uni-goettingen.de/	NR4A3_MOUSE	Nuclear receptor subfamily 4 group A member 3 (Orphan nuclear receptor TEC) (Translocated in extraskeletal chondrosarcoma)	Nr4a3	Tec		1352457;	18124;	yes
2.1.5.0.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	FTZF1-related (NR5A)		Q13285	http://tfclass.bioinf.med.uni-goettingen.de/	STF1_HUMAN	Steroidogenic factor 1 (SF-1) (STF-1) (hSF-1) (Adrenal 4-binding protein) (Fushi tarazu factor homolog 1) (Nuclear receptor subfamily 5 group A member 1) (Steroid hormone receptor Ad4BP)	NR5A1	AD4BP FTZF1 SF1	7983;		2516;	yes
2.1.5.0.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	FTZF1-related (NR5A)		P33242	http://tfclass.bioinf.med.uni-goettingen.de/	STF1_MOUSE	Steroidogenic factor 1 (SF-1) (STF-1) (Adrenal 4-binding protein) (Embryonal LTR-binding protein) (ELP) (Embryonal long terminal repeat-binding protein) (Fushi tarazu factor homolog 1) (Nuclear receptor subfamily 5 group A member 1) (Steroid hormone receptor Ad4BP) (Steroid hydroxylase positive regulator)	Nr5a1	Ftzf1		1346833;	26423;	yes
2.1.5.0.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	FTZF1-related (NR5A)		O00482	http://tfclass.bioinf.med.uni-goettingen.de/	NR5A2_HUMAN	Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor) (hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1) (LRH-1)	NR5A2	B1F CPF FTF	7984;		2494;	yes
2.1.5.0.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	FTZF1-related (NR5A)		P45448	http://tfclass.bioinf.med.uni-goettingen.de/	NR5A2_MOUSE	Nuclear receptor subfamily 5 group A member 2 (Liver receptor homolog 1) (LRH-1)	Nr5a2	Lrh1		1346834;	26424;	yes
2.1.6.0.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	GCNF (NR6)		Q15406	http://tfclass.bioinf.med.uni-goettingen.de/	NR6A1_HUMAN	Nuclear receptor subfamily 6 group A member 1 (Germ cell nuclear factor) (GCNF) (hGCNF) (Retinoid receptor-related testis-specific receptor) (RTR) (hRTR)	NR6A1	GCNF	7985;		2649;	yes
2.1.6.0.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	GCNF (NR6)		Q64249	http://tfclass.bioinf.med.uni-goettingen.de/	NR6A1_MOUSE	Nuclear receptor subfamily 6 group A member 1 (Germ cell nuclear factor) (GCNF) (mGCNF) (Retinoid receptor-related testis-specific receptor) (RTR)	Nr6a1	Gcnf		1352459;	14536;	yes
2.1.7.0.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	DAX-related (NR0)		P51843	http://tfclass.bioinf.med.uni-goettingen.de/	NR0B1_HUMAN	Nuclear receptor subfamily 0 group B member 1 (DSS-AHC critical region on the X chromosome protein 1) (Nuclear receptor DAX-1)	NR0B1	AHC DAX1	7960;		190;	no
2.1.7.0.1	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	DAX-related (NR0)		Q61066	http://tfclass.bioinf.med.uni-goettingen.de/	NR0B1_MOUSE	Nuclear receptor subfamily 0 group B member 1 (Nuclear receptor DAX-1)	Nr0b1	Ahch Dax1		1352460;	11614;	no
2.1.7.0.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	DAX-related (NR0)		Q15466	http://tfclass.bioinf.med.uni-goettingen.de/	NR0B2_HUMAN	Nuclear receptor subfamily 0 group B member 2 (Orphan nuclear receptor SHP) (Small heterodimer partner)	NR0B2	SHP	7961;		8431;	no
2.1.7.0.2	Zinc-coordinating DNA-binding domains	Nuclear receptors with C4 zinc fingers	DAX-related (NR0)		Q62227	http://tfclass.bioinf.med.uni-goettingen.de/	NR0B2_MOUSE	Nuclear receptor subfamily 0 group B member 2 (Orphan nuclear receptor SHP) (Small heterodimer partner)	Nr0b2	Shp		1346344;	23957;	no
2.2.1.1.1	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA double	P15976	http://tfclass.bioinf.med.uni-goettingen.de/	GATA1_HUMAN	Erythroid transcription factor (Eryf1) (GATA-binding factor 1) (GATA-1) (GF-1) (NF-E1 DNA-binding protein)	GATA1	ERYF1 GF1	4170;		2623;	yes
2.2.1.1.1	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA double	P17679	http://tfclass.bioinf.med.uni-goettingen.de/	GATA1_MOUSE	Erythroid transcription factor (Eryf1) (GATA-binding factor 1) (GATA-1) (GF-1) (NF-E1 DNA-binding protein)	Gata1	Gf-1		95661;	14460;	yes
2.2.1.1.2	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA double	P23769	http://genexplain.com/tfclass/huTF_classification.html	GATA2_HUMAN	Endothelial transcription factor GATA-2 (GATA-binding protein 2)	GATA2		4171;		2624;	yes
2.2.1.1.2	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA double	O09100	http://tfclass.bioinf.med.uni-goettingen.de/	GATA2_MOUSE	Endothelial transcription factor GATA-2 (GATA-binding protein 2)	Gata2			95662;	14461;	yes
2.2.1.1.3	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA double	P23771	http://tfclass.bioinf.med.uni-goettingen.de/	GATA3_HUMAN	Trans-acting T-cell-specific transcription factor GATA-3 (GATA-binding factor 3)	GATA3		4172;		2625;	yes
2.2.1.1.3	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA double	P23772	http://tfclass.bioinf.med.uni-goettingen.de/	GATA3_MOUSE	Trans-acting T-cell-specific transcription factor GATA-3 (GATA-binding factor 3)	Gata3	Gata-3		95663;	14462;	yes
2.2.1.1.4	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA double	P43694	http://tfclass.bioinf.med.uni-goettingen.de/	GATA4_HUMAN	Transcription factor GATA-4 (GATA-binding factor 4)	GATA4		4173;		2626;	yes
2.2.1.1.4	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA double	Q08369	http://tfclass.bioinf.med.uni-goettingen.de/	GATA4_MOUSE	Transcription factor GATA-4 (GATA-binding factor 4)	Gata4	Gata-4		95664;	14463;	yes
2.2.1.1.5	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA double	Q9BWX5	http://tfclass.bioinf.med.uni-goettingen.de/	GATA5_HUMAN	Transcription factor GATA-5 (GATA-binding factor 5)	GATA5		15802;		140628;	yes
2.2.1.1.5	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA double	P97489	http://tfclass.bioinf.med.uni-goettingen.de/	GATA5_MOUSE	Transcription factor GATA-5 (GATA-binding factor 5)	Gata5			109497;	14464;	yes
2.2.1.1.6	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA double	Q92908	http://tfclass.bioinf.med.uni-goettingen.de/	GATA6_HUMAN	Transcription factor GATA-6 (GATA-binding factor 6)	GATA6		4174;		2627;	yes
2.2.1.1.6	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA double	Q61169	http://tfclass.bioinf.med.uni-goettingen.de/	GATA6_MOUSE	Transcription factor GATA-6 (GATA-binding factor 6)	Gata6			107516;	14465;	yes
2.2.1.2.1	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA single	Q8WUU5	http://tfclass.bioinf.med.uni-goettingen.de/	GATD1_HUMAN	GATA zinc finger domain-containing protein 1 (Ocular development-associated gene protein)	GATAD1	ODAG	29941;		57798;	no
2.2.1.2.1	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA single	Q920S3	http://tfclass.bioinf.med.uni-goettingen.de/	GATD1_MOUSE	GATA zinc finger domain-containing protein 1 (Ocular development-associated gene protein)	Gatad1	Odag		1914460;	67210;	no
2.2.1.2.10	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA single	Q9UBC3	http://tfclass.bioinf.med.uni-goettingen.de/	DNM3B_HUMAN	DNA (cytosine-5)-methyltransferase 3B (Dnmt3b) (EC 2.1.1.37) (DNA methyltransferase HsaIIIB) (DNA MTase HsaIIIB) (M.HsaIIIB)	DNMT3B		2979;		1789;	no
2.2.1.2.10	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA single	O88509	http://tfclass.bioinf.med.uni-goettingen.de/	DNM3B_MOUSE	DNA (cytosine-5)-methyltransferase 3B (Dnmt3b) (EC 2.1.1.37) (DNA methyltransferase MmuIIIB) (DNA MTase MmuIIIB) (M.MmuIIIB)	Dnmt3b			1261819;	13436;	no
2.2.1.2.11	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA single	Q9UJW3	http://tfclass.bioinf.med.uni-goettingen.de/	DNM3L_HUMAN	DNA (cytosine-5)-methyltransferase 3-like	DNMT3L		2980;		29947;	no
2.2.1.2.11	Zinc-coordinating DNA-binding domains	Other C4 zinc finger-type factors	C4-GATA-related	GATA single	Q9CWR8	http://tfclass.bioinf.med.uni-goettingen.de/	DNM3L_MOUSE	DNA (cytosine-5)-methyltransferase 3-like	Dnmt3l			1859287;	54427;	no
